Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1973,9.56,4.71,17.42,4.27,2.85,8.91,9.99,6.71,2.22,8.82,17.20,10.62,10.23,15.42,9.23,1.92,11.92,4.86,5.10,8.13,10.95,14.30,6.80,1.95,9.05,1.46,3.88,10.02,3.76,10.53
1974,9.21,4.33,17.42,3.98,2.97,8.46,9.84,6.38,1.56,8.03,17.04,10.38,9.97,15.26,9.12,1.50,11.52,4.53,4.51,7.67,10.46,14.28,6.32,2.06,8.71,1.04,3.85,9.27,3.30,9.90
1975,9.52,4.89,17.56,4.27,3.69,8.82,9.92,7.03,2.17,8.60,16.99,10.81,9.94,15.49,9.26,2.19,12.16,4.91,5.02,8.26,11.08,14.10,6.88,2.70,8.82,1.77,4.54,10.13,3.95,10.46
1976,9.66,5.15,17.76,4.62,3.62,9.08,10.19,6.83,2.37,8.63,17.09,11.14,10.24,15.85,9.65,2.39,11.82,5.34,5.25,7.93,10.83,14.31,6.70,2.83,9.21,1.78,4.34,9.53,3.93,10.53
1977,10.35,5.33,18.31,4.91,3.76,9.66,10.85,7.18,2.71,9.76,17.77,11.32,11.11,16.15,10.13,2.62,12.39,5.53,5.56,8.62,11.67,15.08,7.19,3.05,10.02,2.02,4.50,10.52,4.29,10.97
1978,10.02,5.87,17.90,4.67,4.37,9.25,10.46,7.38,3.20,9.06,17.46,11.53,10.60,15.94,9.65,3.27,12.32,5.68,5.68,8.36,11.09,14.51,7.02,3.72,9.35,2.45,4.92,10.01,4.48,10.83
1979,10.21,6.22,18.43,5.02,5.33,9.47,10.57,8.05,3.46,9.04,17.51,12.00,10.32,16.45,10.13,3.71,12.92,5.97,5.97,8.87,11.57,14.50,7.59,4.67,9.26,3.04,5.74,10.53,4.99,11.20
1980,10.24,5.20,18.04,4.43,4.60,9.31,10.57,7.48,2.46,9.37,17.97,10.86,10.89,15.61,9.66,2.79,12.60,4.98,5.22,8.71,11.64,15.48,7.30,3.74,9.54,2.27,5.12,10.50,4.24,10.75
1981,10.22,5.37,17.89,4.41,4.96,9.43,10.41,8.06,2.73,9.62,17.31,11.00,10.55,15.54,9.57,3.07,13.15,5.18,5.56,9.23,11.99,14.53,7.81,4.14,9.54,2.82,5.60,10.94,4.87,11.10
1982,9.42,4.05,17.41,3.72,3.42,8.70,9.99,6.68,1.39,8.63,16.98,9.91,10.13,14.79,9.09,1.64,11.79,4.17,4.46,7.99,10.93,14.21,6.60,2.62,9.11,1.39,4.12,9.70,3.45,10.04
1983,9.62,4.04,17.09,3.47,4.10,8.73,9.76,7.33,1.31,9.40,16.78,9.63,10.09,14.48,8.81,1.87,12.52,3.87,4.39,8.71,11.66,14.06,7.09,3.21,9.13,1.80,4.79,10.81,3.89,10.15
1984,9.60,4.84,17.59,3.76,4.33,8.76,9.99,7.17,1.92,8.73,17.00,10.53,10.02,15.04,9.26,2.54,12.18,4.59,4.63,8.29,11.12,14.25,6.77,3.71,9.12,1.98,4.81,9.87,3.85,10.21
1985,10.00,4.87,17.52,4.08,4.32,9.26,10.12,7.56,2.15,9.21,17.50,10.58,10.48,15.21,9.36,2.61,12.63,4.69,5.05,8.82,11.68,15.11,7.33,3.54,9.41,2.27,4.88,10.50,4.35,10.89
1986,9.86,5.17,17.68,4.01,4.52,8.92,10.00,7.61,2.34,8.86,17.36,10.95,10.22,15.39,9.38,2.80,12.67,4.89,5.00,8.77,11.42,14.96,7.22,3.76,8.92,2.46,5.13,10.44,4.41,10.67
1987,10.20,5.44,17.77,4.39,4.48,9.52,10.20,7.62,2.82,9.43,17.46,11.19,10.51,15.63,9.64,3.10,12.74,5.27,5.53,8.98,11.87,15.20,7.52,3.90,9.46,2.55,5.02,10.81,4.69,11.17
1988,10.45,4.79,17.80,4.30,4.18,9.62,10.54,7.73,2.38,9.84,18.06,10.63,11.16,15.44,9.62,2.50,13.01,4.89,5.37,9.25,12.11,15.87,7.70,3.32,9.92,2.25,5.00,11.00,4.62,11.21
1989,9.67,3.83,17.22,3.62,3.88,8.87,9.73,7.39,1.45,8.97,17.16,9.84,10.12,14.86,9.03,1.61,12.81,4.00,4.55,9.05,11.74,14.82,7.31,2.96,8.99,1.61,4.79,10.82,4.02,10.49
1990,10.18,4.31,17.60,4.12,3.75,9.41,10.25,7.42,1.92,9.67,17.81,10.33,10.80,15.32,9.44,1.98,12.81,4.53,5.00,9.07,12.08,15.56,7.48,2.93,9.65,1.73,4.61,11.09,4.22,10.94
1991,10.45,5.58,18.09,5.15,4.39,9.82,10.47,7.79,2.96,9.71,17.71,11.49,10.92,16.33,10.10,3.04,12.83,5.56,5.73,9.02,11.97,15.47,7.66,3.64,9.77,2.55,5.04,10.79,4.68,11.26
1992,9.48,4.42,17.17,3.95,3.11,8.65,9.55,6.57,1.81,8.81,17.00,10.46,10.04,15.20,8.96,1.78,11.68,4.54,4.64,7.89,10.93,14.94,6.46,2.21,8.68,1.37,3.88,9.86,3.52,10.13
1993,10.09,4.96,17.87,4.74,3.55,9.44,10.34,7.12,2.35,9.25,17.69,10.99,10.72,15.94,9.73,2.33,12.16,5.12,5.23,8.46,11.47,15.51,7.17,2.83,9.50,1.86,4.18,10.16,4.11,10.79
1994,10.56,5.77,18.28,5.25,4.50,9.87,10.67,7.68,2.96,9.76,17.93,11.69,11.05,16.47,10.22,3.12,12.72,5.71,5.79,9.02,12.05,15.66,7.70,3.90,9.85,2.51,4.99,10.82,4.67,11.30
1995,10.43,5.44,17.68,4.70,4.73,9.67,10.22,8.05,2.83,9.92,17.76,11.10,10.77,15.73,9.52,3.00,13.22,5.24,5.63,9.36,12.26,15.42,7.79,3.81,9.65,2.62,5.41,11.34,4.86,11.24
1996,10.42,6.20,18.31,5.23,5.22,9.84,10.58,8.31,3.35,9.29,17.75,11.89,10.60,16.48,10.17,3.66,13.15,5.90,5.96,9.21,11.90,15.05,7.88,4.51,9.63,3.14,5.74,10.74,5.21,11.43
1997,10.68,5.58,18.04,5.11,4.41,10.05,10.67,7.90,3.10,10.19,18.08,11.40,11.26,16.15,9.97,3.04,13.03,5.64,5.97,9.27,12.32,15.63,7.82,3.57,10.10,2.64,5.12,11.17,4.84,11.48
