Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1970,4.21,3.77,3.38,3.88,4.62,4.85,2.08,4.03,5.10,4.83,3.89,7.09,3.94,3.23,4.30,4.64,6.01,4.01,3.12,3.05,3.83,4.17,3.03,2.35,5.53,3.29
1971,4.19,3.69,3.51,3.68,4.58,4.90,1.81,4.01,5.05,4.76,3.80,7.05,3.94,3.19,4.37,4.53,5.89,3.98,3.32,3.09,3.66,4.06,3.31,2.08,5.50,3.37
1972,4.08,3.58,3.52,3.79,4.28,4.47,1.99,3.83,4.69,4.86,3.59,6.62,3.87,3.41,4.07,4.26,5.76,3.82,3.47,3.09,3.77,4.14,3.48,2.34,5.10,3.42
1973,3.67,3.16,3.11,3.14,3.95,4.23,1.43,3.62,4.24,4.34,3.20,6.19,3.49,2.98,3.89,3.78,5.09,3.49,3.05,2.82,3.24,3.52,3.10,1.78,4.72,3.00
1974,4.47,4.07,4.08,3.90,4.77,4.82,2.21,4.26,5.08,5.07,4.11,6.97,4.41,3.80,4.37,4.69,5.97,4.32,3.81,3.62,4.02,4.34,3.82,2.64,5.46,3.85
1975,5.11,4.83,4.76,4.28,5.43,5.50,2.44,4.87,5.78,5.71,4.85,7.66,5.15,4.09,5.02,5.45,6.74,4.99,4.53,4.20,4.47,5.11,4.44,2.71,6.18,4.59
1976,2.71,2.29,1.85,2.49,2.89,2.96,0.82,2.12,3.54,3.55,2.37,5.51,2.52,2.33,2.29,3.18,4.69,2.32,2.03,1.34,2.55,2.81,2.08,1.28,3.71,2.10
1977,3.96,3.53,3.33,3.71,4.08,4.17,2.00,3.61,4.53,4.81,3.55,6.43,3.85,3.52,3.77,4.26,5.71,3.68,3.41,2.91,3.83,3.98,3.55,2.32,4.78,3.43
1978,3.35,2.91,2.52,2.78,3.75,3.93,1.00,3.11,4.38,3.87,3.07,6.36,3.09,2.44,3.35,3.87,5.21,3.11,2.37,2.15,2.80,3.27,2.42,1.33,4.69,2.50
1979,4.23,3.80,3.30,3.67,4.76,5.07,1.84,4.11,5.38,4.62,3.98,7.35,3.85,3.13,4.49,4.80,6.21,4.00,2.85,3.02,3.57,4.15,2.77,2.22,5.72,3.13
1980,3.25,2.82,2.47,2.66,3.67,3.90,0.85,2.95,4.29,3.77,2.97,6.32,3.01,2.23,3.22,3.77,5.12,3.00,2.24,2.06,2.63,3.21,2.17,1.21,4.63,2.40
1981,4.82,4.37,4.21,3.64,5.60,6.05,1.79,5.19,5.95,4.86,4.55,7.96,4.49,3.20,5.63,5.21,6.30,4.91,3.39,4.03,3.68,4.43,3.23,2.10,6.58,3.68
1982,4.11,3.94,3.88,3.30,4.30,4.21,1.37,4.02,4.63,4.72,3.91,6.45,4.25,3.06,3.99,4.50,5.88,4.13,3.45,3.48,3.39,4.21,3.33,1.68,4.80,3.69
1983,4.68,4.36,4.45,3.79,4.97,5.18,2.00,4.76,5.13,5.19,4.31,6.99,4.74,3.68,5.00,4.81,6.01,4.69,4.05,4.09,3.97,4.57,4.08,2.26,5.61,4.18
1984,4.03,3.57,3.32,3.46,4.38,4.52,1.67,3.74,4.95,4.56,3.67,6.90,3.79,3.21,3.96,4.44,5.83,3.75,3.22,2.92,3.44,4.02,3.35,2.03,5.24,3.28
