Variable:,tasmin
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1986,-1.51,-1.20,-0.72,-1.77,-2.00,-1.58,-0.69,-2.85,0.80,0.11,-0.77,-0.77,-0.82,-1.73,-1.72,-0.73,-2.43,-0.12,-1.38,-0.54,-2.97,-0.74,-1.55,-0.69,-0.41
1987,-0.09,0.46,0.70,-0.12,-1.06,0.16,0.93,-1.27,2.29,1.79,0.92,0.92,0.51,-0.62,-0.22,0.71,-0.81,1.43,0.11,0.34,-1.44,0.63,0.12,0.67,0.87
1988,-1.78,-1.08,-1.10,-1.93,-2.47,-1.54,-0.85,-3.17,0.85,0.19,-0.79,-0.79,-1.30,-2.40,-2.22,-0.61,-2.66,-0.27,-1.69,-1.33,-3.29,-1.16,-1.70,-1.14,-0.38
1989,-1.59,-1.23,-0.98,-1.82,-2.17,-1.58,-0.74,-2.87,0.65,0.07,-0.79,-0.79,-1.16,-1.80,-1.69,-0.83,-2.45,-0.22,-1.55,-0.70,-2.92,-1.02,-1.59,-0.98,-0.56
1990,-1.14,-0.70,-0.38,-1.24,-1.92,-1.03,-0.18,-2.31,1.17,0.61,-0.21,-0.21,-0.54,-1.65,-1.31,-0.33,-1.88,0.34,-0.94,-0.57,-2.49,-0.42,-1.02,-0.37,-0.09
1991,-0.44,0.03,0.27,-0.53,-1.24,-0.31,0.46,-1.58,1.81,1.32,0.44,0.44,0.09,-0.91,-0.56,0.34,-1.14,0.96,-0.29,0.16,-1.75,0.20,-0.31,0.25,0.53
1992,-1.23,-0.85,-0.57,-1.30,-1.95,-1.13,-0.31,-2.41,0.88,0.42,-0.35,-0.35,-0.78,-1.50,-1.36,-0.58,-1.96,0.16,-1.10,-0.40,-2.54,-0.66,-1.06,-0.61,-0.37
1993,-1.34,-0.87,-0.62,-1.46,-2.11,-1.21,-0.45,-2.50,0.87,0.36,-0.47,-0.47,-0.77,-1.77,-1.52,-0.55,-2.07,0.06,-1.20,-0.66,-2.65,-0.61,-1.24,-0.57,-0.36
1994,-1.40,-1.08,-0.78,-1.60,-2.03,-1.49,-0.68,-2.57,0.64,0.08,-0.74,-0.74,-0.86,-1.64,-1.41,-0.64,-2.15,-0.22,-1.31,-0.51,-2.71,-0.77,-1.43,-0.70,-0.39
1995,-1.87,-1.48,-1.10,-2.00,-2.63,-1.83,-0.96,-3.06,0.35,-0.28,-1.02,-1.02,-1.19,-2.27,-1.97,-1.08,-2.59,-0.46,-1.65,-1.17,-3.27,-1.07,-1.77,-0.99,-0.86
1996,-0.75,-0.22,0.10,-0.82,-1.51,-0.57,0.28,-2.06,1.60,1.03,0.22,0.22,-0.01,-1.33,-1.08,0.19,-1.52,0.78,-0.46,-0.24,-2.26,0.12,-0.54,0.18,0.43
1997,-0.73,-0.08,-0.06,-0.84,-1.54,-0.50,0.18,-2.10,1.75,1.16,0.25,0.25,-0.17,-1.29,-1.00,0.32,-1.56,0.69,-0.59,-0.25,-2.21,-0.07,-0.60,-0.01,0.50
1998,-1.49,-0.78,-0.69,-1.64,-2.22,-1.22,-0.51,-2.96,1.18,0.50,-0.45,-0.45,-0.81,-2.18,-1.98,-0.31,-2.39,0.13,-1.28,-1.09,-3.11,-0.68,-1.34,-0.62,-0.04
1999,-1.24,-0.80,-0.46,-1.34,-2.06,-1.14,-0.31,-2.44,1.05,0.50,-0.38,-0.38,-0.60,-1.64,-1.36,-0.43,-1.99,0.18,-1.02,-0.57,-2.66,-0.49,-1.08,-0.43,-0.23
2000,-0.98,-0.64,-0.15,-1.04,-1.87,-0.96,-0.03,-2.07,1.18,0.61,-0.17,-0.17,-0.29,-1.38,-1.01,-0.28,-1.68,0.39,-0.72,-0.39,-2.27,-0.18,-0.79,-0.12,-0.10
2001,-0.76,-0.21,-0.03,-0.85,-1.52,-0.62,0.15,-2.04,1.60,1.02,0.10,0.10,-0.17,-1.27,-1.08,0.20,-1.55,0.65,-0.59,-0.17,-2.22,-0.06,-0.62,0.00,0.42
2002,-0.42,0.19,0.16,-0.67,-1.03,-0.28,0.41,-1.81,2.01,1.41,0.44,0.44,-0.01,-0.91,-0.76,0.68,-1.36,0.92,-0.42,0.21,-1.88,0.13,-0.40,0.19,0.92
2003,0.19,0.71,1.12,0.11,-0.66,0.41,1.31,-1.07,2.62,2.03,1.20,1.20,0.96,-0.37,-0.10,1.04,-0.58,1.81,0.51,0.69,-1.29,1.14,0.44,1.19,1.23
2004,-0.26,0.19,0.51,-0.33,-1.13,-0.20,0.68,-1.38,2.01,1.42,0.56,0.56,0.35,-0.72,-0.41,0.55,-0.95,1.14,-0.07,0.32,-1.60,0.46,-0.13,0.53,0.72
