Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1985,216.07,296.00,189.55,140.47,443.79,423.68,324.23,138.88,129.86,187.85,89.71,312.00,101.00,333.79,96.78,482.79,191.35,459.45,209.44,295.67,303.96,297.70,238.06
1986,234.25,355.47,282.18,162.97,446.24,333.02,217.64,188.70,180.83,253.86,131.05,276.03,162.43,440.44,100.54,456.97,208.66,368.02,209.97,293.46,296.40,321.20,289.42
1987,232.67,303.81,356.31,157.92,384.87,326.79,293.42,164.45,175.17,245.17,129.07,298.56,177.40,365.00,98.47,378.49,212.66,356.49,232.27,292.66,297.13,333.32,256.68
1988,221.93,254.99,258.32,130.96,381.35,406.15,358.56,180.32,141.66,236.31,115.88,354.03,126.81,328.78,94.70,412.42,157.38,429.27,247.21,307.03,329.32,247.64,204.22
1989,208.91,327.45,234.06,156.17,410.26,314.44,298.05,109.82,110.95,157.25,119.37,257.28,133.67,387.43,84.05,419.75,188.70,338.04,187.40,242.34,244.10,266.00,251.55
1990,280.00,369.04,253.06,189.80,507.73,477.40,445.61,195.43,183.10,247.17,158.78,387.34,151.38,436.68,126.15,563.48,243.90,516.77,314.42,359.42,371.86,291.49,294.23
1991,240.97,324.81,248.84,171.90,448.09,423.29,319.18,137.43,171.23,234.40,130.52,338.22,140.75,355.65,122.42,478.61,243.32,451.46,237.84,328.13,337.49,312.81,262.46
1992,218.23,282.20,286.08,161.20,381.71,344.39,248.46,146.44,154.56,218.55,146.69,272.99,167.87,341.64,117.63,398.32,203.83,367.58,200.31,294.62,305.96,264.94,227.22
1993,278.57,405.42,342.33,222.70,479.65,392.33,345.53,157.50,208.95,273.05,180.02,353.85,185.79,412.54,138.42,500.41,274.18,417.68,269.37,357.72,368.62,350.53,335.69
1994,279.26,401.53,307.86,201.78,524.67,436.85,354.88,172.15,208.09,260.49,127.89,348.33,173.38,453.13,157.10,562.76,296.17,482.92,259.92,363.31,363.71,358.22,306.52
1995,212.94,275.90,260.91,165.87,374.46,372.19,249.12,171.34,140.75,193.97,135.49,273.34,148.06,295.07,141.68,426.36,195.40,391.89,186.19,286.05,300.40,233.59,209.56
1996,214.55,260.08,264.86,148.00,345.40,293.50,299.28,168.50,160.83,183.18,111.58,262.96,139.32,294.39,154.81,350.86,217.79,321.99,237.54,237.57,226.51,265.59,227.86
1997,218.33,282.03,247.44,160.77,360.85,332.02,253.44,139.54,183.51,217.59,120.54,274.14,144.96,339.76,142.89,370.17,234.74,358.01,193.10,284.94,286.51,297.98,226.98
1998,267.18,343.35,269.48,196.14,403.39,358.64,446.21,203.55,196.55,268.72,151.87,377.48,142.17,382.67,128.87,414.27,261.97,391.59,345.58,316.00,319.22,267.05,264.27
1999,214.01,326.45,263.35,201.90,380.80,307.80,220.67,133.21,145.06,203.33,147.16,249.48,140.25,335.29,135.87,398.28,228.94,337.08,173.60,256.83,258.76,253.74,231.04
2000,209.47,262.34,310.75,133.51,405.76,409.49,234.44,133.22,134.74,189.78,112.57,247.77,147.92,387.86,105.03,446.56,173.17,430.83,176.09,267.49,270.25,297.31,225.50
2001,195.89,261.25,280.39,126.77,382.87,332.98,215.33,118.54,145.22,166.72,110.01,222.57,140.05,368.03,102.38,405.20,184.47,363.68,151.24,247.18,244.94,264.25,215.35
2002,182.85,201.46,226.10,109.74,325.72,294.82,292.15,144.02,109.44,186.08,90.92,277.07,109.73,272.27,95.35,360.16,135.19,327.48,225.86,225.48,230.09,218.38,159.22
2003,253.75,333.11,296.63,208.80,415.50,349.69,250.21,188.96,196.91,229.23,175.41,262.08,180.21,416.21,156.54,431.07,274.03,383.50,214.27,295.26,287.10,354.56,305.91
2004,171.31,220.04,222.85,125.68,321.23,273.52,193.19,118.44,104.21,117.71,99.61,190.95,111.91,311.16,98.73,342.92,164.22,314.91,167.95,191.17,182.96,228.29,182.77
2005,191.23,279.15,295.70,157.48,356.73,305.28,222.94,81.89,100.58,134.43,137.46,220.73,153.24,354.09,77.24,357.85,175.72,334.99,135.90,224.77,224.00,260.88,231.49
2006,186.31,265.86,229.35,124.50,384.23,345.04,197.62,127.49,110.30,141.20,93.86,203.89,112.47,377.75,97.80,416.77,157.66,366.92,159.86,227.79,229.30,248.80,219.20
2007,188.28,287.75,243.53,165.27,374.55,314.19,178.66,120.67,116.30,128.70,138.05,181.44,130.69,321.12,124.80,396.17,200.29,347.06,138.92,214.27,206.82,218.58,198.48
2008,212.40,262.16,223.33,117.93,423.35,383.02,274.93,170.08,156.50,208.77,94.51,291.70,108.61,371.94,128.40,453.34,180.94,426.64,210.07,293.91,297.74,237.55,195.58
2009,194.16,255.90,226.92,118.78,382.04,355.68,266.07,127.63,113.61,201.53,92.45,282.77,106.81,346.11,75.99,420.96,146.81,388.13,187.76,279.57,291.30,263.83,195.20
2010,215.56,310.80,284.59,166.12,385.00,336.94,266.26,131.76,120.45,168.72,135.90,263.08,149.47,357.66,101.77,405.21,187.32,364.96,178.11,250.40,252.70,315.07,270.06
