Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1980,8.28,9.67,12.97,2.75,15.39,4.33,10.97,15.26,12.97,16.54,1.77,8.16,8.48,5.30,14.69,3.46,5.61,9.14,4.02,9.78,2.80,13.04,13.97,1.15,10.52
1981,8.32,9.28,12.25,3.12,15.57,4.21,10.95,15.26,12.82,16.66,1.99,8.12,8.71,5.42,14.72,3.48,5.48,9.41,4.00,9.80,3.04,13.13,14.33,1.70,11.09
1982,8.49,9.56,12.61,3.32,16.00,4.13,11.35,15.66,13.05,16.97,2.13,8.31,9.02,5.45,15.11,3.67,5.79,9.55,4.27,10.06,2.56,13.49,14.65,1.27,11.27
1983,8.01,8.71,11.84,2.70,15.26,4.23,10.55,15.12,12.54,16.29,1.72,7.46,8.51,4.84,14.58,3.10,5.13,8.95,3.91,9.29,3.33,12.84,13.79,1.74,10.44
1984,7.89,8.94,12.20,2.65,15.66,3.47,10.59,15.47,12.58,16.81,1.93,7.46,8.37,4.67,15.25,2.96,4.81,9.23,3.74,9.13,2.11,12.96,13.97,0.83,10.66
1985,8.49,9.34,12.61,3.09,16.04,4.53,11.09,16.04,13.11,17.09,2.18,8.00,8.86,5.30,15.54,3.66,5.68,9.51,4.27,9.66,3.27,13.46,14.37,1.77,10.99
1986,8.54,9.38,12.74,3.62,16.48,3.83,11.55,16.34,13.35,17.46,2.34,7.96,9.44,5.53,15.78,3.32,5.27,9.81,4.72,10.09,2.51,13.82,14.96,1.15,11.52
1987,8.35,9.39,12.45,2.86,15.24,4.73,10.87,15.10,12.68,16.24,1.92,8.20,8.79,5.46,14.54,3.93,5.94,9.10,4.39,9.74,3.13,12.89,13.95,1.83,10.55
1988,7.57,8.39,11.31,2.43,14.53,3.67,10.30,14.18,11.59,15.71,1.74,7.13,8.18,4.57,13.87,2.62,4.65,8.89,3.69,9.10,2.77,12.06,13.31,1.64,10.10
1989,8.35,9.40,12.31,3.29,15.18,4.19,11.19,14.98,12.64,16.13,2.06,8.35,9.13,5.64,14.15,3.31,5.59,9.35,4.60,10.15,3.00,12.94,14.24,1.60,10.98
1990,8.30,9.11,12.31,3.05,15.47,4.25,11.19,15.32,12.79,16.57,1.99,8.08,8.91,5.40,14.85,3.32,5.43,9.30,4.24,9.97,3.09,13.08,14.11,1.55,10.82
1991,8.34,9.29,12.75,3.49,15.94,3.73,11.18,15.82,13.17,16.93,2.34,7.85,9.25,5.53,15.16,3.23,5.14,9.71,4.76,10.00,2.37,13.37,14.43,0.77,11.27
1992,8.02,9.02,12.44,2.77,15.52,3.57,10.90,15.45,12.72,16.53,1.99,7.60,8.48,5.27,14.86,3.01,4.78,9.32,4.10,9.80,2.39,13.03,13.94,0.82,10.67
1993,8.19,9.19,12.43,3.01,15.49,4.09,10.86,15.41,12.63,16.59,1.97,7.77,8.63,5.30,14.89,3.37,5.21,9.35,4.10,9.75,2.95,12.87,13.99,1.24,10.83
1994,8.88,9.73,12.90,4.05,16.52,4.27,11.90,16.29,13.48,17.58,2.98,8.59,9.88,6.25,15.88,3.78,5.74,10.26,5.28,10.83,2.46,13.88,15.13,0.56,11.86
1995,7.99,8.44,11.56,3.51,15.31,3.73,10.66,15.11,12.16,16.47,2.31,7.48,9.20,5.06,14.89,3.30,5.11,9.53,4.32,9.42,2.30,12.46,14.31,0.73,11.25
1996,8.17,9.00,12.15,3.19,15.23,4.05,10.91,15.03,12.51,16.30,2.16,7.80,8.98,5.36,14.59,3.42,5.26,9.44,4.36,9.76,2.75,12.76,14.21,1.30,11.00
1997,8.79,9.72,13.01,3.92,16.42,4.31,11.69,16.23,13.55,17.50,2.77,8.38,9.65,5.78,15.80,3.97,5.82,10.17,4.93,10.24,2.50,13.87,15.11,0.97,11.77
1998,8.52,9.25,12.42,3.21,15.52,4.89,10.97,15.42,12.77,16.63,2.48,8.14,8.98,5.51,15.26,3.87,5.85,9.62,4.46,9.75,3.65,13.03,14.33,2.25,11.14
1999,8.13,9.02,11.99,2.74,15.11,4.24,10.70,15.01,12.47,16.36,2.00,7.99,8.54,5.30,14.92,3.68,5.65,9.19,4.03,9.54,2.75,12.69,13.80,1.62,10.56
2000,7.91,9.09,12.40,2.68,15.31,3.47,10.70,15.12,12.59,16.53,2.10,7.52,8.38,4.91,15.01,3.14,4.96,9.34,3.81,9.31,1.99,12.76,13.89,1.42,10.62
