Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1966,1.35,1.19,0.30,0.49,1.83,0.75,1.04,1.95,0.56,1.06,1.90,0.87,2.51,2.91,1.18,0.72,0.82,1.36,1.04,0.89,1.65,2.22,2.01,1.86,0.54,0.84,2.50
1967,2.19,1.93,1.17,1.30,2.63,1.59,1.65,2.87,1.34,1.74,2.78,1.46,3.59,3.98,2.14,1.34,1.54,2.18,1.66,1.51,2.52,3.22,3.10,2.83,1.42,1.81,3.68
1968,1.29,0.96,0.21,0.27,1.65,0.69,0.58,1.98,0.38,0.73,1.81,0.40,2.89,3.21,1.33,0.29,0.55,1.24,0.64,0.47,1.59,2.36,2.46,2.02,0.58,1.03,3.11
1969,0.07,-0.30,-0.93,-0.85,0.35,-0.58,-0.60,0.70,-0.83,-0.51,0.50,-0.70,1.64,1.99,0.10,-0.82,-0.67,-0.06,-0.55,-0.67,0.28,1.11,1.20,0.75,-0.58,-0.16,1.89
1970,1.09,0.88,0.22,0.33,1.47,0.54,0.66,1.56,0.35,0.73,1.55,0.55,2.22,2.60,1.08,0.41,0.54,1.07,0.70,0.56,1.38,1.86,1.80,1.52,0.49,0.82,2.29
1971,2.27,2.06,1.30,1.42,2.73,1.74,1.71,2.88,1.47,1.85,2.88,1.58,3.54,3.90,2.28,1.49,1.68,2.25,1.79,1.63,2.62,3.15,3.09,2.84,1.60,1.96,3.60
1972,2.66,2.43,1.73,1.77,3.08,2.18,2.08,3.23,1.88,2.23,3.20,1.80,3.91,4.25,2.82,1.72,2.07,2.68,2.12,1.92,3.05,3.50,3.57,3.24,2.10,2.53,4.09
1973,2.34,2.10,1.31,1.34,2.80,1.84,1.62,3.04,1.48,1.83,2.97,1.39,3.82,4.17,2.42,1.28,1.66,2.35,1.66,1.51,2.74,3.37,3.41,3.06,1.68,2.08,3.95
1974,3.08,2.84,2.25,2.26,3.48,2.61,2.47,3.56,2.37,2.62,3.61,2.30,4.21,4.55,3.31,2.23,2.51,3.10,2.54,2.39,3.45,3.82,3.89,3.57,2.65,3.08,4.37
1975,3.55,3.35,2.57,2.63,4.01,3.01,3.03,4.14,2.73,3.16,4.14,2.82,4.80,5.14,3.60,2.68,2.95,3.57,3.05,2.86,3.90,4.41,4.39,4.12,2.93,3.31,4.92
1976,0.57,0.25,-0.41,-0.31,0.91,-0.04,-0.07,1.18,-0.27,0.05,1.08,-0.15,2.01,2.34,0.62,-0.23,-0.10,0.46,0.02,-0.10,0.87,1.53,1.60,1.21,-0.13,0.32,2.21
1977,1.92,1.67,1.01,1.11,2.37,1.35,1.42,2.50,1.14,1.50,2.48,1.30,3.16,3.53,1.89,1.15,1.32,1.88,1.46,1.30,2.24,2.79,2.71,2.46,1.26,1.61,3.25
1978,1.16,0.89,0.10,0.24,1.61,0.52,0.60,1.85,0.25,0.69,1.75,0.49,2.62,2.99,1.09,0.34,0.47,1.12,0.65,0.48,1.48,2.19,2.11,1.82,0.36,0.74,2.74
1979,1.49,1.27,0.70,0.78,1.89,0.97,1.00,1.94,0.82,1.07,1.97,0.90,2.58,2.93,1.59,0.80,0.97,1.48,1.04,0.94,1.82,2.19,2.26,1.94,0.94,1.31,2.70
1980,1.14,0.89,0.19,0.24,1.54,0.56,0.60,1.68,0.30,0.69,1.64,0.42,2.47,2.81,1.28,0.26,0.49,1.12,0.60,0.43,1.43,1.98,2.06,1.70,0.61,1.03,2.66
1981,2.27,2.08,1.46,1.61,2.67,1.78,1.84,2.73,1.61,1.92,2.78,1.76,3.28,3.63,2.28,1.67,1.80,2.26,1.89,1.81,2.62,2.95,2.90,2.70,1.68,1.97,3.38
1982,2.35,2.13,1.42,1.54,2.77,1.80,1.85,2.85,1.58,1.93,2.84,1.79,3.54,3.90,2.37,1.66,1.77,2.33,1.89,1.78,2.66,3.13,3.15,2.84,1.72,2.09,3.66
1983,3.12,2.91,2.18,2.30,3.56,2.57,2.62,3.65,2.36,2.71,3.65,2.55,4.33,4.69,3.10,2.42,2.56,3.14,2.65,2.54,3.45,3.94,3.90,3.63,2.45,2.78,4.41
1984,2.64,2.39,1.68,1.72,3.09,2.06,2.05,3.26,1.80,2.19,3.25,1.87,3.97,4.32,2.73,1.70,1.99,2.62,2.05,1.85,3.01,3.54,3.55,3.24,2.03,2.44,4.12
1985,0.56,0.32,-0.44,-0.31,1.01,-0.04,0.05,1.21,-0.28,0.14,1.14,-0.03,1.87,2.28,0.47,-0.19,-0.06,0.52,0.07,-0.07,0.88,1.50,1.43,1.17,-0.19,0.12,1.96
1986,1.76,1.53,0.83,0.93,2.20,1.20,1.25,2.31,0.98,1.35,2.33,1.14,3.01,3.35,1.79,1.00,1.15,1.76,1.25,1.11,2.09,2.59,2.57,2.29,1.13,1.47,3.12
1987,0.15,-0.14,-0.86,-0.75,0.51,-0.47,-0.53,0.83,-0.70,-0.37,0.72,-0.55,1.62,1.99,0.11,-0.66,-0.51,0.07,-0.48,-0.56,0.45,1.18,1.13,0.82,-0.54,-0.22,1.73
1988,2.55,2.28,1.67,1.74,2.94,1.98,1.96,3.07,1.77,2.08,3.07,1.91,3.85,4.19,2.62,1.80,1.94,2.52,1.99,1.89,2.86,3.39,3.39,3.05,1.98,2.35,3.96
1989,3.99,3.80,3.13,3.28,4.42,3.40,3.60,4.45,3.23,3.65,4.46,3.58,5.11,5.46,3.95,3.43,3.44,3.96,3.62,3.50,4.26,4.72,4.62,4.40,3.38,3.70,5.20
1990,3.75,3.52,2.77,2.92,4.17,3.13,3.27,4.29,2.93,3.34,4.25,3.21,5.07,5.42,3.71,3.06,3.16,3.71,3.30,3.18,4.04,4.60,4.55,4.27,3.03,3.40,5.17
1991,3.04,2.82,2.17,2.27,3.46,2.49,2.63,3.48,2.28,2.64,3.50,2.56,4.22,4.55,3.02,2.37,2.46,3.04,2.57,2.47,3.30,3.76,3.86,3.49,2.45,2.75,4.43
1992,3.23,2.99,2.26,2.36,3.66,2.67,2.68,3.78,2.41,2.78,3.74,2.57,4.56,4.90,3.27,2.43,2.59,3.22,2.67,2.57,3.55,4.09,4.14,3.77,2.59,2.97,4.72
1993,2.16,1.89,1.17,1.29,2.56,1.55,1.59,2.75,1.32,1.68,2.68,1.50,3.53,3.91,2.16,1.40,1.48,2.12,1.63,1.47,2.46,3.08,3.07,2.73,1.45,1.85,3.71
1994,2.33,2.09,1.38,1.54,2.73,1.68,1.85,2.87,1.51,1.89,2.84,1.84,3.60,4.00,2.22,1.67,1.75,2.32,1.84,1.79,2.59,3.18,3.18,2.85,1.62,1.95,3.76
1995,2.79,2.61,1.97,2.05,3.17,2.28,2.25,3.22,2.05,2.38,3.25,2.21,3.95,4.29,2.83,2.11,2.21,2.82,2.28,2.20,3.08,3.51,3.58,3.21,2.25,2.56,4.13
1996,1.15,0.92,0.32,0.40,1.51,0.55,0.59,1.60,0.41,0.73,1.62,0.57,2.34,2.66,1.15,0.48,0.59,1.14,0.64,0.59,1.42,1.87,2.04,1.64,0.58,0.86,2.54
1997,2.58,2.29,1.61,1.72,2.94,1.96,2.05,3.14,1.77,2.10,3.08,2.00,3.93,4.28,2.57,1.87,1.92,2.52,2.05,1.95,2.86,3.48,3.49,3.16,1.91,2.30,4.10
