Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1991,13.46,14.14,5.39,0.68,3.91,3.04,8.88,4.93,6.88,0.74,11.18,11.96,8.95,9.06,16.31,5.01,21.11,18.59,3.37,11.91,15.71,3.04,16.42,5.96,17.59,20.06
1992,13.87,14.50,6.14,1.13,4.40,3.54,9.38,5.37,7.23,1.21,11.89,12.49,9.50,9.72,16.75,5.68,21.39,18.82,3.67,12.57,16.02,3.35,16.99,6.23,17.79,20.54
1993,13.64,14.30,5.77,1.02,4.40,3.36,9.13,5.36,7.12,0.99,11.53,12.28,9.22,9.37,16.56,5.37,21.04,18.71,3.88,12.25,15.85,3.41,16.63,6.41,17.67,20.23
1994,13.60,14.10,5.49,1.01,4.23,3.33,8.88,5.35,7.23,0.93,11.33,12.16,9.16,9.11,16.25,5.15,21.08,18.91,3.85,12.09,15.55,3.45,16.52,6.46,17.37,20.34
1995,13.71,14.30,5.48,0.89,4.24,3.21,8.95,5.38,7.18,0.90,11.37,12.07,9.19,9.17,16.25,5.11,21.36,18.87,3.95,12.13,15.64,3.53,16.66,6.53,17.56,20.43
1996,13.13,13.54,4.65,0.54,3.80,2.76,8.08,4.82,6.81,0.32,10.59,11.53,8.53,8.29,15.31,4.36,20.80,18.53,3.47,11.44,14.82,3.11,15.89,6.05,16.84,19.84
1997,14.17,14.96,6.32,1.41,4.82,3.76,9.79,5.78,7.53,1.42,12.03,12.69,9.68,10.02,17.23,5.81,21.68,19.03,4.38,12.71,16.59,3.83,17.27,6.93,18.46,20.73
1998,14.39,15.01,6.36,1.72,5.09,4.07,9.78,6.14,7.83,1.76,12.21,12.97,10.00,10.00,17.19,6.04,21.92,19.35,4.75,12.97,16.54,4.16,17.34,7.27,18.40,21.03
1999,13.24,13.73,5.09,0.62,3.97,2.97,8.44,4.96,6.75,0.60,11.00,11.81,8.87,8.68,15.77,4.81,20.78,18.27,3.57,11.79,15.11,3.02,16.09,6.12,16.97,19.99
2000,13.44,13.87,5.35,0.75,4.27,3.06,8.65,5.27,6.94,0.73,11.22,11.89,9.01,8.96,16.02,4.99,20.96,18.51,3.97,11.98,15.24,3.35,16.39,6.55,17.01,20.19
2001,13.28,13.65,4.98,0.72,4.32,3.01,8.37,4.88,6.95,0.62,10.87,11.84,8.81,8.60,15.72,4.76,20.79,18.53,3.84,11.73,15.08,3.26,16.03,6.16,16.97,19.93
2002,13.70,14.33,5.64,0.91,4.31,3.23,9.12,5.22,7.13,0.92,11.43,12.12,9.17,9.34,16.52,5.24,21.34,18.73,3.87,12.15,15.89,3.35,16.70,6.38,17.74,20.27
2003,13.54,14.19,5.55,0.72,3.90,3.09,9.00,4.73,6.92,0.86,11.34,12.07,9.12,9.23,16.37,5.19,21.26,18.56,3.19,12.07,15.70,2.88,16.59,5.75,17.52,20.17
2004,13.74,14.25,5.64,1.01,4.40,3.29,9.05,5.44,7.23,0.99,11.47,12.17,9.28,9.29,16.40,5.30,21.33,18.88,3.99,12.24,15.76,3.52,16.67,6.58,17.60,20.38
2005,13.60,14.06,5.43,0.81,4.28,3.10,8.82,5.22,7.08,0.81,11.33,11.94,9.16,9.06,16.13,5.13,21.23,18.73,3.83,12.15,15.50,3.37,16.49,6.36,17.38,20.33
2006,13.69,14.20,5.65,1.08,4.53,3.37,9.01,5.38,7.23,0.97,11.46,12.23,9.21,9.28,16.38,5.28,21.22,18.75,3.99,12.23,15.73,3.49,16.64,6.54,17.57,20.30
2007,13.13,13.50,4.84,0.44,3.80,2.72,8.24,4.65,6.73,0.43,10.78,11.55,8.69,8.47,15.56,4.60,20.77,18.42,3.29,11.61,14.92,2.86,15.94,5.84,16.79,19.89
2008,13.38,14.05,5.51,0.60,3.76,2.94,8.88,4.56,6.73,0.68,11.33,11.84,9.01,9.15,16.23,5.10,21.02,18.30,2.94,12.08,15.58,2.63,16.50,5.47,17.38,20.15
2009,13.75,14.37,5.69,1.11,4.37,3.44,9.13,5.13,7.20,1.07,11.52,12.30,9.31,9.36,16.54,5.33,21.35,18.78,3.66,12.29,15.90,3.26,16.70,6.20,17.76,20.44
2010,13.70,14.15,5.42,1.02,4.29,3.34,8.85,4.98,7.29,1.05,11.34,12.14,9.33,9.06,16.20,5.18,21.34,18.97,3.59,12.22,15.57,3.27,16.50,6.06,17.43,20.53
