Variable:,tasmin
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2000,-0.24,5.22,-0.26,0.78,5.96,4.92,-1.35,3.65,4.59,4.36,-4.38,2.52,3.94,5.60,3.90,4.57,4.05,1.97,-2.42,-0.82,2.85,4.12
2001,-1.80,4.09,-1.99,-0.79,4.98,3.58,-2.91,2.29,3.44,3.11,-6.02,0.99,2.68,4.42,2.57,3.31,2.63,0.31,-4.13,-2.41,1.36,2.61
2002,-1.43,4.57,-1.47,-0.36,5.28,4.27,-2.38,2.85,3.84,3.60,-5.91,1.37,2.99,4.96,2.89,3.51,2.87,0.84,-3.80,-2.06,1.68,3.29
2003,-1.57,3.83,-1.78,-0.71,4.70,3.62,-2.53,2.15,3.17,2.90,-5.50,0.89,2.45,4.21,2.39,3.09,2.46,0.37,-3.67,-2.22,1.21,2.70
2004,-1.42,3.97,-1.69,-0.50,4.82,3.74,-2.36,2.28,3.31,3.04,-5.36,1.00,2.55,4.38,2.47,3.18,2.54,0.49,-3.49,-1.99,1.34,2.85
2005,-1.11,4.17,-1.37,-0.22,4.86,3.88,-2.17,2.51,3.48,3.22,-4.89,1.34,2.82,4.49,2.77,3.42,2.83,0.82,-3.11,-1.71,1.60,3.07
2006,-0.86,4.73,-0.96,0.13,5.35,4.49,-1.78,3.05,3.99,3.81,-5.03,1.72,3.25,5.11,3.16,3.84,3.24,1.22,-3.03,-1.45,2.01,3.57
2007,-0.96,4.91,-1.21,-0.04,5.48,4.61,-2.17,3.16,4.13,3.95,-5.04,1.65,3.26,5.32,3.15,3.85,3.24,1.10,-3.17,-1.66,1.98,3.54
2008,-0.65,5.03,-0.73,0.46,5.97,4.73,-1.65,3.39,4.43,4.10,-5.08,2.16,3.67,5.32,3.69,4.46,3.80,1.59,-2.82,-1.12,2.50,3.85
2009,-1.40,4.19,-1.63,-0.58,4.98,3.97,-2.42,2.54,3.50,3.32,-5.44,1.17,2.68,4.58,2.66,3.34,2.68,0.64,-3.52,-2.05,1.46,2.97
2010,-3.43,2.70,-3.96,-2.83,3.32,2.22,-4.91,0.86,1.92,1.72,-7.20,-0.81,0.91,3.02,0.82,1.56,0.73,-1.57,-5.78,-4.42,-0.51,1.06
2011,-0.62,4.58,-1.07,0.06,5.36,4.37,-1.71,2.94,3.95,3.70,-4.16,1.63,3.20,4.96,3.08,3.74,3.12,1.11,-2.53,-1.25,1.90,3.39
2012,-1.92,3.98,-2.01,-0.90,4.65,3.74,-3.03,2.28,3.28,3.09,-6.22,0.89,2.44,4.34,2.40,3.06,2.40,0.29,-4.29,-2.60,1.18,2.70
2013,-1.56,4.08,-1.97,-0.81,4.88,3.79,-2.81,2.28,3.38,3.15,-5.30,0.86,2.48,4.44,2.38,3.15,2.44,0.27,-3.61,-2.22,1.16,2.63
2014,-0.21,5.58,-0.22,0.62,5.85,5.52,-1.17,3.99,4.80,4.76,-4.61,2.51,3.98,6.06,3.79,4.31,3.75,2.17,-2.39,-0.80,2.69,4.51
2015,-0.51,5.06,-0.81,0.36,5.90,4.61,-1.62,3.29,4.34,4.08,-4.39,2.01,3.52,5.24,3.55,4.29,3.66,1.32,-2.54,-1.10,2.41,3.62
2016,-0.91,4.86,-1.27,-0.21,5.49,4.46,-2.12,3.08,4.12,3.87,-4.73,1.61,3.25,5.11,3.17,3.81,3.13,1.01,-3.11,-1.77,1.92,3.43
2017,-1.19,4.75,-1.37,-0.30,5.37,4.38,-2.21,2.93,4.00,3.78,-5.42,1.43,3.09,5.07,3.03,3.70,3.03,0.81,-3.37,-1.86,1.78,3.22
2018,-1.12,5.05,-1.35,-0.22,5.66,4.68,-2.39,3.27,4.28,4.10,-5.40,1.71,3.41,5.36,3.34,3.98,3.29,0.97,-3.45,-1.87,2.05,3.53
2019,-1.12,5.29,-1.14,-0.03,5.92,4.87,-2.25,3.45,4.50,4.28,-5.80,1.86,3.58,5.60,3.48,4.22,3.50,1.20,-3.57,-1.80,2.22,3.73
2020,0.09,5.72,-0.00,1.24,6.78,5.42,-0.97,4.12,5.14,4.83,-4.24,2.86,4.41,5.94,4.51,5.35,4.70,2.19,-2.11,-0.31,3.37,4.49
