Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1993,576.90,447.86,527.61,986.11,501.76,352.48,930.67,597.71,433.17,703.70,540.20,394.30,488.24,1266.37,460.77,337.30,348.92,725.82,921.33,615.20
1994,500.07,328.43,485.01,919.75,473.94,316.08,928.19,542.26,314.39,571.84,330.10,316.57,414.30,1260.23,357.88,275.00,251.35,757.85,969.03,639.31
1995,519.68,382.01,440.45,969.28,401.54,269.29,884.20,575.27,349.03,513.67,357.30,279.87,502.19,1331.70,405.98,276.60,233.07,688.38,900.86,573.54
1996,806.61,857.84,712.19,1169.22,749.87,455.23,1198.53,763.96,569.43,918.24,999.10,477.86,801.69,1568.95,582.75,388.40,425.35,1011.98,1249.55,831.13
1997,778.02,677.06,747.61,1190.04,543.83,332.94,1300.26,831.07,602.04,724.27,575.00,480.79,753.22,1465.03,644.47,311.70,428.05,1077.46,1350.63,963.94
1998,486.43,359.85,483.32,796.54,544.82,217.87,803.48,500.87,376.98,543.89,356.80,332.90,417.82,1047.40,392.91,216.20,252.82,685.39,849.33,561.85
1999,571.83,402.55,573.36,1041.61,388.21,328.97,1008.88,609.13,381.83,677.25,379.70,334.15,477.36,1360.13,421.32,331.80,285.34,855.26,1060.10,689.43
2000,631.17,492.33,581.31,1139.09,407.56,264.14,1071.07,683.68,415.63,631.29,514.40,358.97,584.72,1553.40,469.54,307.00,308.67,869.00,1099.91,721.26
2001,581.41,507.44,487.34,996.98,517.72,303.41,897.07,585.58,427.71,529.65,433.80,385.54,581.65,1380.86,443.29,340.00,341.56,714.23,900.58,592.06
2002,680.41,520.47,697.33,1081.09,686.04,459.88,1016.97,702.38,488.79,826.81,539.40,488.38,584.64,1473.48,518.95,286.30,345.74,903.14,1076.93,756.76
2003,694.25,570.14,716.07,1089.64,672.55,291.04,1049.95,724.08,498.09,776.01,625.50,485.33,617.60,1446.30,556.71,472.50,349.74,918.32,1086.28,755.46
2004,568.67,449.92,611.93,801.91,577.42,347.25,915.15,549.96,486.55,692.79,391.30,448.50,493.40,929.86,487.88,365.50,380.30,822.83,1008.16,685.45
2005,445.38,311.93,466.95,770.39,467.46,418.99,829.92,469.66,286.51,577.27,346.40,324.62,338.45,962.23,324.93,255.20,224.82,677.15,857.44,562.73
2006,616.71,524.71,521.83,1050.90,521.03,472.17,906.75,648.99,466.47,531.63,480.70,392.55,614.69,1439.12,509.20,348.90,358.44,720.50,888.60,615.13
2007,560.71,425.77,584.06,822.98,627.58,431.08,886.60,577.72,457.19,585.06,395.90,496.83,465.38,1001.71,479.58,378.90,411.42,813.81,990.56,682.55
2008,655.15,529.15,697.53,1011.89,602.23,257.48,1098.09,663.00,513.08,709.27,570.90,473.37,537.32,1239.15,536.19,418.70,395.67,988.88,1203.75,835.33
2009,585.69,559.91,526.26,941.70,595.88,216.54,935.85,556.89,424.11,560.30,613.00,443.98,532.36,1281.25,390.02,334.60,400.72,781.05,977.27,642.35
2010,784.12,922.71,597.47,1119.66,653.29,426.13,982.22,721.94,633.71,668.29,972.10,488.51,873.41,1508.76,603.59,514.60,504.52,802.64,997.25,690.67
2011,519.48,453.33,505.80,772.11,607.85,283.25,770.93,497.28,387.76,654.20,537.60,376.16,497.40,1012.88,396.21,369.10,309.40,656.64,801.93,556.49
2012,509.14,446.10,505.05,778.28,469.91,240.44,814.69,495.76,389.61,539.43,449.40,385.40,447.11,995.92,388.35,351.80,353.93,726.43,888.09,593.06
2013,663.99,480.57,681.87,1138.69,584.08,299.69,1208.53,690.60,461.98,737.58,462.20,399.42,577.95,1496.51,473.50,366.50,339.29,1037.85,1296.72,873.16
2014,621.65,465.54,620.02,1047.83,515.63,410.50,1012.91,645.92,424.03,766.07,427.90,343.34,583.01,1418.42,479.11,266.60,264.43,861.96,1047.04,711.33
2015,472.90,343.22,530.22,794.65,569.13,236.25,867.51,477.50,328.39,563.09,336.50,371.30,346.75,957.86,324.28,307.50,308.74,772.80,952.52,633.82
2016,628.21,491.22,564.46,1064.07,546.64,317.53,980.67,675.26,465.45,596.87,519.70,384.05,609.94,1458.37,534.90,315.90,294.22,821.93,1016.54,688.91
2017,453.60,362.25,508.36,734.49,539.52,144.35,815.23,440.36,313.37,567.20,356.50,319.37,351.40,910.42,306.61,267.80,262.91,724.29,889.29,588.21
2018,754.22,588.84,780.22,1125.64,686.32,404.53,1135.12,756.51,581.90,938.16,627.20,572.32,658.21,1457.07,620.02,441.20,458.31,1053.05,1253.72,876.40
2019,554.02,340.75,592.87,1037.86,539.08,235.42,1078.83,589.37,379.79,681.58,325.60,401.55,364.77,1322.31,379.82,285.50,328.21,882.25,1110.29,734.74
2020,596.37,412.48,654.11,963.52,568.41,189.34,969.82,615.31,450.73,718.24,393.60,452.81,492.88,1228.95,471.22,244.50,346.28,884.86,1060.78,717.45
